iter	Passed	Remaining
0	2	2474
1	4	2415
2	7	2433
3	9	2368
4	12	2434
5	14	2379
6	16	2367
7	19	2356
8	21	2345
9	23	2341
10	25	2334
11	28	2334
12	30	2330
13	33	2339
14	35	2356
15	38	2352
16	40	2352
17	43	2348
18	45	2344
19	47	2343
20	50	2340
21	52	2337
22	54	2333
23	57	2325
24	59	2322
25	61	2315
26	64	2309
27	66	2305
28	68	2285
29	70	2284
30	73	2282
31	75	2279
32	77	2277
33	80	2276
34	82	2275
35	84	2272
36	87	2269
37	89	2267
38	91	2264
39	93	2250
40	95	2243
41	98	2240
42	100	2239
43	102	2236
44	105	2235
45	107	2234
46	110	2231
47	112	2227
48	114	2224
49	116	2220
50	119	2216
51	121	2212
52	123	2207
53	125	2202
54	127	2198
55	130	2196
56	132	2196
57	134	2191
58	136	2172
59	138	2169
60	140	2165
61	143	2163
62	145	2160
63	147	2157
64	149	2153
65	151	2150
66	154	2147
67	156	2144
68	158	2141
69	160	2138
70	163	2135
71	166	2140
72	168	2142
73	171	2141
74	173	2140
75	176	2142
76	178	2143
77	181	2148
78	184	2153
79	187	2154
80	190	2161
81	193	2161
82	195	2158
83	197	2155
84	199	2152
85	202	2149
86	204	2146
87	207	2146
88	209	2143
89	211	2142
90	214	2138
91	216	2135
92	218	2132
93	220	2129
94	223	2126
95	225	2123
96	227	2122
97	229	2110
98	231	2108
99	234	2110
100	237	2114
101	239	2108
102	241	2106
103	244	2103
104	246	2100
105	248	2097
106	250	2093
107	253	2090
108	255	2087
109	257	2084
110	259	2080
111	262	2078
112	264	2075
113	266	2072
114	268	2069
115	271	2066
116	273	2063
117	275	2060
118	277	2057
119	280	2055
120	282	2052
121	284	2049
122	287	2046
123	289	2043
124	291	2040
125	293	2037
126	296	2035
127	298	2032
128	300	2030
129	302	2024
130	304	2022
131	306	2018
132	309	2015
133	311	2012
134	313	2009
135	315	2006
136	318	2003
137	320	2002
138	322	1995
139	324	1993
140	326	1990
141	329	1991
142	332	1989
143	334	1987
144	336	1986
145	339	1985
146	341	1984
147	346	1995
148	349	1994
149	351	1993
150	354	1993
151	356	1991
152	359	1989
153	362	1988
154	364	1985
